"# @inbook{heinrich1995x, author={Heinrich, Kurt F J}, chapter={{An Evaluation of Electron Probe Methods}}, title={{X-Ray Spectrometry in Electron Beam Instruments}}, editor={Goldstein, Joseph and Newbury, Dale E and Williams, David B}, year={1995}, publisher={Plenum Press} }",,,,,,,,,
"# Scanned from Heinrich's original manuscript by John Fournelle and digitized by Aurelien Moy - May 2020",,,,,,,,,
"# Item 909 is missing from both the author's manuscript and the published document",,,,,,,,,
"# The sources of data used in the compilation are as follows:",,,,,,,,,
"# 1. Bastin’s measurements of borides: G. F. Bastin and H. J. M. Heijligers, Report ISBN 90-68 19-006—7 CIP, University for Physical Chemistry, Eindhoven, Netherlands.",,,,,,,,,
"# 2. Goldstein et al. measurements: J. I. Goldstein, F. J. Majeske, and H. Yakowitz, Adv. X-Ray Anal. 10, 431 (1967).",,,,,,,,,
"# 3. J. Colby and D. K. Conley’s measurements: J. Colby and D. K. Conley, in: X-Ray Optics and Microanalysis, (Castaing et al., eds.), Hermann, Paris, p. 263 (1966).",,,,,,,,,
"# 4. NBS 1 measurements: K. F. J. Heinrich et al., NBS Special Publication 260—28 (1971).",,,,,,,,,
"# 5. Pouchou’s compilation: J.-L. Pouchou, in: Electron Probe Quantitation (K. F. J. Heinrich and D. E. Newbury, eds.) Plenum, New York, p. 64 (1991).",,,,,,,,,
"# 6. Sewell et al. compilation: D. A. Sewell, G. Love and V. D. Scott, J. Phys. D: Appl. Phys. 18, 1245 (1985).",,,,,,,,,
"# 7. Bastin Data Basis: personal communication (1990).",,,,,,,,,
"# 8. NBS 2 measurements: R. Marinenko (NBS) and Hiroyoshi Konuma (Jap. Nat. Res. Inst. of Police Science, Tokyo), 1986 (unpublished).",,,,,,,,,
"# 9. P. F. Hlava’s (Sandia) measurements: personal communication. See also: A. D. Romig Jr. et al., in: Microbeam Analysis—1987 (R. H. Geiss, ed.) San Francisco Press, San Francisco, p. 15 (1987)",,,,,,,,,
"# 10. Schreiber’s measurements: T. P. Schreiber and R. A. Waldo, in: Proceedings of ICXOM11, (J.D. Brown and R. H. Packwood, eds.), U. London, Ontario, Canada, p.265 (1986).",,,,,,,,,
"# 11. Bastin compilation 2: personal communication (1990)",,,,,,,,,
"# Line: Ka=1, Kb=2, La1=3, Lb1=4, Ma1=8, Mb1=9",,,,,,,,,
"# Items 857 to 860 appear to be in error by a factor of 0.1 in Heinrich's document. Otherwise the data seems reliable.",,,,,,,,,
Item,Line,Z1,Z2,C1,E0,Ec,TOA,Kexp,Origin
327,1,13,26,0.1,15000,1559,75,0.0692,5
328,1,13,26,0.1,2000,1559,75,0.0543,5
329,1,13,26,0.1,25000,1559,75,0.0415,5
330,1,13,26,0.1,30000,1559,75,0.0337,5
331,1,13,26,0.1,35000,1559,75,0.0268,5
332,1,13,26,0.1,40000,1559,75,0.0218,5
333,1,13,27,0.673,10000,1559,20,0.541,7
334,1,13,27,0.673,15000,1559,20,0.43,7
335,1,13,27,0.673,29000,1559,29,0.23,7
336,1,13,28,0.408,10000,1559,17,0.247,7
337,1,13,28,0.408,15000,1559,17,0.16,7
338,1,13,28,0.408,20000,1559,17,0.102,7
339,1,13,28,0.408,25000,1559,17,0.08,7
340,1,13,28,0.408,30000,1559,17,0.07,7
341,1,13,28,0.408,35000,1559,17,0.065,7
342,1,13,28,0.578,10000,1559,17,0.385,7
343,1,13,28,0.578,15000,1559,17,0.24,7
344,1,13,28,0.578,20000,1559,17,0.175,7
345,1,13,28,0.578,25000,1559,17,0.145,7
346,1,13,28,0.578,30000,1559,17,0.127,7
347,1,13,28,0.578,35000,1559,17,0.115,7
348,1,13,28,0.58,10000,1559,20,0.415,7
349,1,13,28,0.58,15000,1559,20,0.3,7
350,1,13,28,0.58,29000,1559,20,0.144,7
351,1,13,28,0.049,5300,1559,40,0.0473,5
352,1,13,28,0.049,10500,1559,40,0.0315,5
353,1,13,28,0.049,15900,1559,40,0.021,5
354,1,13,28,0.125,5300,1559,40,0.1246,5
355,1,13,28,0.125,10500,1559,40,0.0848,5
356,1,13,28,0.125,15900,1559,40,0.0585,5
357,1,13,28,0.125,21200,1559,40,0.0405,5
358,1,13,28,0.125,26600,1559,40,0.0307,5
359,1,13,28,0.125,31900,1559,40,0.0233,5
360,1,13,28,0.309,5300,1559,40,0.2957,5
361,1,13,28,0.309,10500,1559,40,0.2184,5
362,1,13,28,0.309,15900,1559,40,0.1576,5
363,1,13,28,0.309,21200,1559,40,0.1141,5
364,1,13,28,0.309,26600,1559,40,0.0878,5
365,1,13,28,0.309,31900,1559,40,0.0683,5
366,1,13,28,0.309,38200,1559,40,0.057,5
367,1,13,28,0.5796,5000,1559,40,0.626,6
368,1,13,28,0.5796,10000,1559,40,0.503,6
369,1,13,28,0.5796,15000,1559,40,0.4,6
370,1,13,28,0.5796,20000,1559,40,0.32,6
371,1,13,28,0.5796,25000,1559,40,0.257,6
372,1,13,29,0.46,10000,1559,20,0.31,7
373,1,13,29,0.46,15000,1559,20,0.205,7
374,1,13,29,0.46,29000,1559,20,0.092,7
375,1,13,29,0.459,5000,1559,40,0.491,6
376,1,13,29,0.459,10000,1559,40,0.381,6
377,1,13,29,0.459,15000,1559,40,0.288,6
378,1,13,29,0.459,20000,1559,40,0.22,6
379,1,13,29,0.459,25000,1559,40,0.17,6
380,1,13,29,0.9445,15900,1559,40,0.8801,5
381,1,13,29,0.9445,21200,1559,40,0.8441,5
382,1,13,29,0.9445,31800,1559,40,0.7637,5
383,1,13,29,0.9445,39900,1559,40,0.7065,5
384,1,14,5,0.3143,4000,1839,40,0.29,1
385,1,14,5,0.3143,6000,1839,40,0.294,1
386,1,14,5,0.3143,8000,1839,40,0.2978,1
387,1,14,5,0.3143,10000,1839,40,0.3002,1
388,1,14,5,0.3143,12000,1839,40,0.3036,1
389,1,14,5,0.3143,15000,1839,40,0.3072,1
390,1,14,5,0.3143,20000,1839,40,0.312,1
391,1,14,5,0.3143,25000,1839,40,0.314,1
392,1,14,5,0.3143,30000,1839,40,0.3156,1
393,1,14,5,0.478,4000,1839,40,0.4465,1
394,1,14,5,0.478,6000,1839,40,0.4528,1
395,1,14,5,0.478,8000,1839,40,0.458,1
396,1,14,5,0.478,10000,1839,40,0.4622,1
397,1,14,5,0.478,12000,1839,40,0.4658,1
398,1,14,5,0.478,15000,1839,40,0.4696,1
399,1,14,5,0.478,20000,1839,40,0.4738,1
400,1,14,5,0.478,25000,1839,40,0.4758,1
401,1,14,5,0.478,30000,1839,40,0.476,1
402,1,14,6,0.701,10000,1839,20,0.68,7
403,1,14,6,0.7,4000,1839,40,0.7102,7
404,1,14,6,0.7,6000,1839,40,0.6975,7
405,1,14,6,0.7,8000,1839,40,0.6854,7
406,1,14,6,0.7005,5000,1839,40,0.654,6
407,1,14,6,0.7005,10000,1839,40,0.679,6
408,1,14,6,0.7005,15000,1839,40,0.675,6
409,1,14,6,0.7005,20000,1839,40,0.676,6
410,1,14,6,0.7005,25000,1839,40,0.667,6
411,1,14,6,0.7005,4000,1839,40,0.68,5
412,1,14,6,0.7005,6000,1839,40,0.6798,5
413,1,14,6,0.7005,8000,1839,40,0.679,5
414,1,14,6,0.7005,10000,1839,40,0.6787,5
415,1,14,6,0.7005,12000,1839,40,0.678,5
416,1,14,6,0.7005,15000,1839,40,0.6762,5
417,1,14,6,0.7005,20000,1839,40,0.673,5
418,1,14,6,0.7005,25000,1839,40,0.6682,5
419,1,14,6,0.7005,30000,1839,40,0.663,5
420,1,14,8,0.467,10000,1839,20,0.389,7
421,1,14,8,0.467,25000,1839,20,0.311,7
422,1,14,8,0.4675,5000,1839,40,0.424,6
423,1,14,8,0.4675,10000,1839,40,0.419,6
424,1,14,8,0.4675,15000,1839,40,0.412,6
425,1,14,12,0.366,5000,1839,18,0.316,7
426,1,14,26,0.086,10000,1839,20,0.066,7
427,1,14,26,0.086,15000,1839,20,0.044,7
428,1,14,26,0.5917,25000,1839,40,0.326,6
429,1,14,26,0.086,10000,1839,52.5,0.0829,5
430,1,14,26,0.086,15000,1839,52.5,0.0677,5
431,1,14,26,0.086,20000,1839,52.5,0.0544,5
432,1,14,26,0.086,25000,1839,52.5,0.0446,5
433,1,14,26,0.086,30000,1839,52.5,0.0354,5
434,1,14,26,0.086,10000,1839,75,0.0846,5
435,1,14,26,0.086,15000,1839,75,0.0723,5
436,1,14,26,0.086,20000,1839,75,0.0615,5
437,1,14,26,0.086,25000,1839,75,0.0517,5
438,1,14,26,0.086,30000,1839,75,0.0431,5
439,1,14,26,0.086,35000,1839,75,0.0352,5
440,1,14,26,0.086,40000,1839,75,0.0277,5
441,1,14,42,0.369,5000,1839,20,0.399,7
442,1,14,42,0.369,10000,1839,20,0.34,7
443,1,14,42,0.369,15000,1839,20,0.284,7
444,1,14,42,0.369,20000,1839,20,0.241,7
445,1,14,42,0.369,25000,1839,20,0.198,7
446,1,14,42,0.369,30000,1839,20,0.176,7
447,1,14,42,0.369,35000,1839,20,0.159,7
448,1,22,5,0.6993,6000,4965,40,0.633,1
449,1,22,5,0.6993,8000,4965,40,0.64,1
450,1,22,5,0.6993,10000,4965,40,0.6462,1
451,1,22,5,0.6993,12000,4965,40,0.6513,1
452,1,22,5,0.6993,15000,4965,40,0.6578,1
453,1,22,5,0.6993,20000,4965,40,0.6662,1
454,1,22,5,0.6993,25000,4965,40,0.6738,1
455,1,22,5,0.6993,30000,4965,40,0.6782,1
456,1,22,5,0.8322,6000,4965,40,0.7922,1
457,1,22,5,0.8322,8000,4965,40,0.7937,1
458,1,22,5,0.8322,10000,4965,40,0.7942,1
459,1,22,5,0.8322,12000,4965,40,0.796,1
460,1,22,5,0.8322,15000,4965,40,0.7978,1
461,1,22,5,0.8322,20000,4965,40,0.8012,1
462,1,22,5,0.8322,25000,4965,40,0.8042,1
463,1,22,5,0.8322,30000,4965,40,0.8077,1
464,1,22,6,0.816,6000,4965,40,0.7832,11
465,1,22,6,0.816,8000,4965,40,0.7862,11
466,1,22,6,0.816,10000,4965,40,0.7888,11
467,1,22,6,0.816,12000,4965,40,0.791,11
468,1,22,6,0.816,15000,4965,40,0.7938,11
469,1,22,6,0.816,20000,4965,40,0.798,11
470,1,22,6,0.816,25000,4965,40,0.8012,11
471,1,22,6,0.816,30000,4965,40,0.8033,11
472,1,22,8,0.599,30000,4965,20,0.582,7
473,1,22,8,0.5995,10000,4965,40,0.55,6
474,1,22,8,0.5995,15000,4965,40,0.558,6
475,1,22,8,0.5995,20000,4965,40,0.562,6
476,1,22,13,0.372,10000,4965,17.3,0.32,7
477,1,22,13,0.372,15000,4965,17.3,0.317,7
478,1,22,13,0.372,20000,4965,17.3,0.307,7
479,1,22,13,0.372,25000,4965,17.3,0.295,7
480,1,22,13,0.372,30000,4965,17.3,0.28,7
481,1,22,13,0.372,35000,4965,17.3,0.265,7
482,1,22,13,0.602,15700,4965,40,0.5789,5
483,1,22,13,0.602,20900,4965,40,0.5605,5
484,1,22,13,0.602,26100,4965,40,0.558,5
485,1,22,13,0.602,41300,4965,40,0.5435,5
486,1,22,13,0.602,36500,4965,40,0.5437,5
487,1,22,13,0.602,40000,4965,40,0.538,5
488,1,22,41,0.35,25000,4965,18,0.241,7
489,1,23,5,0.716,8000,5465,40,0.65,1
490,1,23,5,0.716,10000,5465,40,0.6602,1
491,1,23,5,0.716,12000,5465,40,0.6681,1
492,1,23,5,0.716,15000,5465,40,0.677,1
493,1,23,5,0.716,20000,5465,40,0.6878,1
494,1,23,5,0.716,25000,5465,40,0.6939,1
495,1,23,5,0.716,30000,5465,40,0.6977,1
496,1,23,5,0.716,6000,5465,40,0.6378,1
497,1,23,6,0.84,6000,5465,40,0.7952,11
498,1,23,6,0.84,8000,5465,40,0.8013,11
499,1,23,6,0.84,10000,5465,40,0.8065,11
500,1,23,6,0.84,12000,5465,40,0.8111,11
501,1,23,6,0.84,15000,5465,40,0.8162,11
502,1,23,6,0.84,20000,5465,40,0.822,11
503,1,23,6,0.84,25000,5465,40,0.8265,11
504,1,23,6,0.84,30000,5465,40,0.8295,11
505,1,23,14,0.47,10000,5465,20,0.431,7
506,1,23,14,0.47,15000,5465,20,0.408,7
507,1,23,14,0.47,20000,5465,20,0.405,7
508,1,23,14,0.47,25000,5465,20,0.414,7
509,1,23,14,0.47,30000,5465,20,0.384,7
510,1,23,14,0.47,35000,5465,20,0.378,7
511,1,23,14,0.47,40000,5465,20,0.358,7
512,1,23,14,0.47,10000,5465,52.5,0.4475,5
513,1,23,14,0.47,15000,5465,52.5,0.4416,5
514,1,23,14,0.47,20000,5465,52.5,0.4342,5
515,1,23,14,0.47,25000,5465,52.5,0.4247,5
516,1,23,14,0.47,30000,5465,52.5,0.4143,5
517,1,23,14,0.47,10000,5465,75,0.4371,5
518,1,23,14,0.47,15000,5465,75,0.4356,5
519,1,23,14,0.47,20000,5465,75,0.4342,5
520,1,23,14,0.47,25000,5465,75,0.4327,5
521,1,23,14,0.47,30000,5465,75,0.4303,5
522,1,23,14,0.47,35000,5465,75,0.4267,5
523,1,23,14,0.47,40000,5465,75,0.4234,5
524,1,24,5,0.7269,8000,5989,40,0.623,1
525,1,24,5,0.7269,10000,5989,40,0.6374,1
526,1,24,5,0.7269,12000,5989,40,0.648,1
527,1,24,5,0.7269,15000,5989,40,0.6603,1
528,1,24,5,0.7269,20000,5989,40,0.6738,1
529,1,24,5,0.7269,25000,5989,40,0.681,1
530,1,24,5,0.7269,30000,5989,40,0.685,1
531,1,24,5,0.832,8000,5989,40,0.7785,1
532,1,24,5,0.832,10000,5989,40,0.784,1
533,1,24,5,0.832,12000,5989,40,0.7905,1
534,1,24,5,0.832,15000,5989,40,0.7981,1
535,1,24,5,0.832,20000,5989,40,0.807,1
536,1,24,5,0.832,25000,5989,40,0.8122,1
537,1,24,5,0.832,30000,5989,40,0.8156,1
538,1,24,5,0.832,15000,5989,40,0.7981,1
539,1,24,6,0.8666,10000,5989,40,0.792,6
540,1,24,6,0.8666,15000,5989,40,0.798,6
541,1,24,6,0.8666,8000,5989,40,0.831,11
542,1,24,6,0.8666,10000,5989,40,0.8322,11
543,1,24,6,0.8666,12000,5989,40,0.8358,11
544,1,24,6,0.8666,15000,5989,40,0.8385,11
545,1,24,6,0.8666,20000,5989,40,0.8422,11
546,1,24,6,0.8666,25000,5989,40,0.8455,11
547,1,24,6,0.8666,30000,5989,40,0.8478,11
548,1,24,6,0.909,8000,5989,40,0.879,11
549,1,24,6,0.909,10000,5989,40,0.8819,11
550,1,24,6,0.909,12000,5989,40,0.8842,11
551,1,24,6,0.909,15000,5989,40,0.8875,11
552,1,24,6,0.909,20000,5989,40,0.8918,11
553,1,24,6,0.909,25000,5989,40,0.895,11
554,1,24,6,0.909,30000,5989,40,0.8972,11
555,1,24,6,0.9432,8000,5989,40,0.9252,11
556,1,24,6,0.9432,10000,5989,40,0.9257,11
557,1,24,6,0.9432,12000,5989,40,0.9259,11
558,1,24,6,0.9432,15000,5989,40,0.9261,11
559,1,24,6,0.9432,20000,5989,40,0.9265,11
560,1,24,6,0.9432,25000,5989,40,0.9271,11
561,1,24,6,0.9432,30000,5989,40,0.9278,11
562,1,24,8,0.684,20000,5989,20,0.639,7
563,1,24,8,0.684,30000,5989,20,0.639,7
564,1,24,8,0.684,40000,5989,20,0.664,7
565,1,24,26,0.0075,15000,5989,52.5,0.0095,3
566,1,24,26,0.0075,20000,5989,52.5,0.0097,3
567,1,24,26,0.0075,25000,5989,52.5,0.0099,3
568,1,24,26,0.0075,30000,5989,52.5,0.0103,3
569,1,24,26,0.0075,35000,5989,52.5,0.0106,3
570,1,24,26,0.0075,40000,5989,52.5,0.011,3
571,1,24,26,0.0075,30000,5989,52.5,0.0108,4
572,1,24,26,0.0243,15000,5989,52.5,0.0308,3
573,1,24,26,0.0243,20000,5989,52.5,0.0313,3
574,1,24,26,0.0243,25000,5989,52.5,0.0318,3
575,1,24,26,0.0243,30000,5989,52.5,0.0323,3
576,1,24,26,0.0243,35000,5989,52.5,0.0328,3
577,1,24,26,0.0243,40000,5989,52.5,0.0333,3
578,1,24,26,0.0243,30000,5989,52.5,0.0337,4
579,1,24,26,0.0288,15000,5989,52.5,0.0365,3
580,1,24,26,0.0288,20000,5989,52.5,0.037,3
581,1,24,26,0.0288,25000,5989,52.5,0.0376,3
582,1,24,26,0.0288,30000,5989,52.5,0.0381,3
583,1,24,26,0.0288,35000,5989,52.5,0.0387,3
584,1,24,26,0.0288,40000,5989,52.5,0.0392,3
585,1,24,26,0.0288,10000,5989,52.5,0.0351,4
586,1,24,26,0.0288,20000,5989,52.5,0.0379,4
587,1,24,26,0.0288,30000,5989,52.5,0.0396,4
588,1,24,26,0.0532,15000,5989,52.5,0.0669,3
589,1,24,26,0.0532,20000,5989,52.5,0.0679,3
590,1,24,26,0.0532,25000,5989,52.5,0.0688,3
591,1,24,26,0.0532,30000,5989,52.5,0.0696,3
592,1,24,26,0.0532,35000,5989,52.5,0.0703,3
593,1,24,26,0.0532,40000,5989,52.5,0.0709,3
594,1,24,26,0.0532,10000,5989,52.5,0.0651,4
595,1,24,26,0.0532,20000,5989,52.5,0.07,4
596,1,24,26,0.0532,30000,5989,52.5,0.0719,4
597,1,24,26,0.101,15000,5989,52.5,0.1251,3
598,1,24,26,0.101,20000,5989,52.5,0.1267,3
599,1,24,26,0.101,25000,5989,52.5,0.1281,3
600,1,24,26,0.101,30000,5989,52.5,0.1294,3
601,1,24,26,0.101,35000,5989,52.5,0.1304,3
602,1,24,26,0.101,40000,5989,52.5,0.1313,3
603,1,24,26,0.101,10000,5989,52.5,0.1186,4
604,1,24,26,0.101,20000,5989,52.5,0.1271,4
605,1,24,26,0.101,30000,5989,52.5,0.1314,4
606,1,24,26,0.4984,15000,5989,52.5,0.533,3
607,1,24,26,0.4984,20000,5989,52.5,0.535,3
608,1,24,26,0.4984,25000,5989,52.5,0.5368,3
609,1,24,26,0.4984,30000,5989,52.5,0.5384,3
610,1,24,26,0.4984,35000,5989,52.5,0.5398,3
611,1,24,26,0.4984,40000,5989,52.5,0.541,3
612,1,24,26,0.4984,15000,5989,52.5,0.5272,4
613,1,24,26,0.4984,20000,5989,52.5,0.5444,4
614,1,24,26,0.4984,30000,5989,52.5,0.5436,4
615,1,24,26,0.9,15000,5989,52.5,0.9078,3
616,1,24,26,0.9,20000,5989,52.5,0.9082,3
617,1,24,26,0.9,25000,5989,52.5,0.9086,3
618,1,24,26,0.9,30000,5989,52.5,0.9091,3
619,1,24,26,0.9,35000,5989,52.5,0.9095,3
620,1,24,26,0.9,40000,5989,52.5,0.9099,3
621,1,24,26,0.9608,15000,5989,52.5,0.9652,3
622,1,24,26,0.9608,20000,5989,52.5,0.9653,3
623,1,24,26,0.9608,25000,5989,52.5,0.9655,3
624,1,24,26,0.9608,30000,5989,52.5,0.9657,3
625,1,24,26,0.9608,35000,5989,52.5,0.9659,3
626,1,24,26,0.9608,40000,5989,52.5,0.9662,3
627,1,24,26,0.9703,20000,5989,52.5,0.974,3
628,1,24,26,0.9703,30000,5989,52.5,0.9742,3
629,1,24,26,0.9703,40000,5989,52.5,0.9747,3
630,1,24,26,0.9792,20000,5989,52.5,0.9819,3
631,1,24,26,0.9792,30000,5989,52.5,0.9821,3
632,1,24,26,0.9792,40000,5989,52.5,0.9824,3
633,1,24,26,0.99,20000,5989,52.5,0.9913,3
634,1,24,26,0.99,30000,5989,52.5,0.9916,3
635,1,24,26,0.99,40000,5989,52.5,0.9921,3
636,1,25,51,0.474,15000,6539,20,0.46,7
637,1,25,51,0.474,20000,6539,20,0.421,7
638,1,25,51,0.474,25000,6539,20,0.385,7
639,1,25,51,0.474,30000,6539,20,0.35,7
640,1,26,5,0.8378,8000,7111,40,0.7823,1
641,1,26,5,0.8378,10000,7111,40,0.7922,1
642,1,26,5,0.8378,12000,7111,40,0.8002,1
643,1,26,5,0.8378,15000,7111,40,0.8098,1
644,1,26,5,0.8378,20000,7111,40,0.8203,1
645,1,26,5,0.8378,25000,7111,40,0.828,1
646,1,26,5,0.8378,30000,7111,40,0.833,1
647,1,26,5,0.9118,8000,7111,40,0.868,1
648,1,26,5,0.9118,10000,7111,40,0.873,1
649,1,26,5,0.9118,12000,7111,40,0.8764,1
650,1,26,5,0.9118,15000,7111,40,0.8821,1
651,1,26,5,0.9118,20000,7111,40,0.8888,1
652,1,26,5,0.9118,25000,7111,40,0.894,1
653,1,26,5,0.9118,30000,7111,40,0.897,1
654,1,26,6,0.9333,8000,7111,40,0.9172,11
655,1,26,6,0.9333,10000,7111,40,0.9194,11
656,1,26,6,0.9333,12000,7111,40,0.9215,11
657,1,26,6,0.9333,15000,7111,40,0.9239,11
658,1,26,6,0.9333,20000,7111,40,0.927,11
659,1,26,6,0.9333,25000,7111,40,0.929,11
660,1,26,6,0.9333,30000,7111,40,0.9304,11
661,1,26,8,0.699,10000,7111,20,0.624,7
662,1,26,8,0.699,20000,7111,20,0.653,7
663,1,26,8,0.699,30000,7111,20,0.653,7
664,1,26,8,0.699,40000,7111,20,0.653,7
665,1,26,8,0.7,29000,7111,20,0.649,7
666,1,26,8,0.697,12000,7111,40,0.642,7
667,1,26,8,0.697,15000,7111,40,0.647,7
668,1,26,8,0.697,20000,7111,40,0.654,7
669,1,26,8,0.697,25000,7111,40,0.661,7
670,1,26,8,0.697,29000,7111,40,0.665,7
671,1,26,13,0.408,10000,7111,16.5,0.36,7
672,1,26,13,0.408,15000,7111,16.5,0.362,7
673,1,26,13,0.408,20000,7111,16.5,0.365,7
674,1,26,13,0.408,25000,7111,16.5,0.367,7
675,1,26,13,0.408,30000,7111,16.5,0.37,7
676,1,26,13,0.408,35000,7111,16.5,0.37,7
677,1,26,13,0.4083,10000,7111,40,0.351,6
678,1,26,13,0.4083,15000,7111,40,0.367,6
679,1,26,13,0.4083,20000,7111,40,0.364,6
680,1,26,13,0.4083,25000,7111,40,0.367,6
681,1,26,13,0.4083,30000,7111,40,0.367,6
682,1,26,13,0.4083,35000,7111,40,0.366,6
683,1,26,13,0.4083,40000,7111,40,0.369,6
684,1,26,13,0.759,20000,7111,52.5,0.736,7
685,1,26,13,0.759,25000,7111,52.5,0.742,7
686,1,26,13,0.759,30000,7111,52.5,0.748,7
687,1,26,16,0.466,10000,7111,75,0.406,7
688,1,26,16,0.466,12000,7111,75,0.421,7
689,1,26,16,0.466,15000,7111,75,0.425,7
690,1,26,16,0.466,20000,7111,75,0.425,7
691,1,26,16,0.466,25000,7111,75,0.422,7
692,1,26,16,0.466,30000,7111,75,0.419,7
693,1,26,24,0.902,10000,7111,18,0.887,7
694,1,26,24,0.902,20000,7111,18,0.87,7
695,1,26,24,0.0109,15000,7111,52.5,0.0113,3
696,1,26,24,0.0109,20000,7111,52.5,0.0105,3
697,1,26,24,0.0109,25000,7111,52.5,0.0096,3
698,1,26,24,0.0109,30000,7111,52.5,0.0084,3
699,1,26,24,0.0109,35000,7111,52.5,0.0071,3
700,1,26,24,0.0109,40000,7111,52.5,0.0056,3
701,1,26,24,0.022,15000,7111,52.5,0.0202,3
702,1,26,24,0.022,20000,7111,52.5,0.0193,3
703,1,26,24,0.022,25000,7111,52.5,0.018,3
704,1,26,24,0.022,30000,7111,52.5,0.0164,3
705,1,26,24,0.022,35000,7111,52.5,0.0144,3
706,1,26,24,0.022,40000,7111,52.5,0.012,3
707,1,26,24,0.0308,15000,7111,52.5,0.0274,3
708,1,26,24,0.0308,20000,7111,52.5,0.0263,3
709,1,26,24,0.0308,25000,7111,52.5,0.0248,3
710,1,26,24,0.0308,30000,7111,52.5,0.0227,3
711,1,26,24,0.0308,35000,7111,52.5,0.0202,3
712,1,26,24,0.0308,40000,7111,52.5,0.0171,3
713,1,26,24,0.0406,15000,7111,52.5,0.0353,3
714,1,26,24,0.0406,20000,7111,52.5,0.0342,3
715,1,26,24,0.0406,25000,7111,52.5,0.0323,3
716,1,26,24,0.0406,30000,7111,52.5,0.0298,3
717,1,26,24,0.0406,35000,7111,52.5,0.0267,3
718,1,26,24,0.0406,40000,7111,52.5,0.0229,3
719,1,26,24,0.1003,15000,7111,52.5,0.0849,3
720,1,26,24,0.1003,20000,7111,52.5,0.0829,3
721,1,26,24,0.1003,25000,7111,52.5,0.0794,3
722,1,26,24,0.1003,30000,7111,52.5,0.0744,3
723,1,26,24,0.1003,35000,7111,52.5,0.0679,3
724,1,26,24,0.1003,40000,7111,52.5,0.0599,3
725,1,26,24,0.4991,15000,7111,52.5,0.4537,3
726,1,26,24,0.4991,20000,7111,52.5,0.4493,3
727,1,26,24,0.4991,25000,7111,52.5,0.4403,3
728,1,26,24,0.4991,30000,7111,52.5,0.4267,3
729,1,26,24,0.4991,35000,7111,52.5,0.4086,3
730,1,26,24,0.4991,40000,7111,52.5,0.3858,3
731,1,26,24,0.5016,10000,7111,52.5,0.4811,4
732,1,26,24,0.5016,20000,7111,52.5,0.4535,4
733,1,26,24,0.5016,30000,7111,52.5,0.4343,4
734,1,26,24,0.8984,15000,7111,52.5,0.8894,3
735,1,26,24,0.8984,20000,7111,52.5,0.8871,3
736,1,26,24,0.8984,25000,7111,52.5,0.8821,3
737,1,26,24,0.8984,30000,7111,52.5,0.8741,3
738,1,26,24,0.8984,35000,7111,52.5,0.8634,3
739,1,26,24,0.8984,40000,7111,52.5,0.8498,3
740,1,26,24,0.899,10000,7111,52.5,0.8883,4
741,1,26,24,0.899,20000,7111,52.5,0.8842,4
742,1,26,24,0.899,30000,7111,52.5,0.8751,4
743,1,26,24,0.9455,20000,7111,52.5,0.9435,3
744,1,26,24,0.9455,30000,7111,52.5,0.9332,3
745,1,26,24,0.9455,40000,7111,52.5,0.9136,3
746,1,26,24,0.9468,10000,7111,52.5,0.9286,4
747,1,26,24,0.9468,20000,7111,52.5,0.9405,4
748,1,26,24,0.9468,30000,7111,52.5,0.9321,4
749,1,26,24,0.9686,20000,7111,52.5,0.9715,3
750,1,26,24,0.9686,30000,7111,52.5,0.9626,3
751,1,26,24,0.9686,40000,7111,52.5,0.9455,3
752,1,26,24,0.9738,20000,7111,52.5,0.9778,3
753,1,26,24,0.9738,30000,7111,52.5,0.9693,3
754,1,26,24,0.9738,40000,7111,52.5,0.9528,3
755,1,26,24,0.9893,20000,7111,52.5,0.9968,3
756,1,26,24,0.9893,30000,7111,52.5,0.9892,3
757,1,26,24,0.9893,40000,7111,52.5,0.9746,3
758,1,26,50,0.1905,20000,7111,40,0.1859,7
759,1,26,50,0.32,20000,7111,40,0.3145,7
760,1,27,5,0.845,10000,7709,40,0.7823,1
761,1,27,5,0.845,12000,7709,40,0.7939,1
762,1,27,5,0.845,15000,7709,40,0.8058,1
763,1,27,5,0.845,20000,7709,40,0.818,1
764,1,27,5,0.845,25000,7709,40,0.8244,1
765,1,27,5,0.845,30000,7709,40,0.8278,1
766,1,27,5,0.916,10000,7709,40,0.866,1
767,1,27,5,0.916,12000,7709,40,0.8832,1
768,1,27,5,0.916,15000,7709,40,0.898,1
769,1,27,5,0.916,20000,7709,40,0.9101,1
770,1,27,5,0.916,25000,7709,40,0.912,1
771,1,27,5,0.916,30000,7709,40,0.9078,1
772,1,28,5,0.856,10000,8331,40,0.8083,1
773,1,28,5,0.856,12000,8331,40,0.818,1
774,1,28,5,0.856,15000,8331,40,0.8283,1
775,1,28,5,0.856,20000,8331,40,0.8388,1
776,1,28,5,0.856,25000,8331,40,0.8438,1
777,1,28,5,0.856,30000,8331,40,0.845,1
778,1,28,5,0.9157,10000,8331,40,0.8858,1
779,1,28,5,0.9157,12000,8331,40,0.8899,1
780,1,28,5,0.9157,15000,8331,40,0.895,1
781,1,28,5,0.9157,20000,8331,40,0.9005,1
782,1,28,5,0.9157,25000,8331,40,0.904,1
783,1,28,5,0.9157,30000,8331,40,0.906,1
784,1,28,5,0.9422,10000,8331,40,0.9238,1
